Neighborhood,Id,Estimate; Total:,Margin of Error; Total:,"Estimate; Housing units with a mortgage, contract to purchase, or similar debt:","Margin of Error; Housing units with a mortgage, contract to purchase, or similar debt:","Estimate; Housing units with a mortgage, contract to purchase, or similar debt: - With either a second mortgage or home equity loan, but not both:","Margin of Error; Housing units with a mortgage, contract to purchase, or similar debt: - With either a second mortgage or home equity loan, but not both:","Estimate; Housing units with a mortgage, contract to purchase, or similar debt: - With either a second mortgage or home equity loan, but not both: - Second mortgage only","Margin of Error; Housing units with a mortgage, contract to purchase, or similar debt: - With either a second mortgage or home equity loan, but not both: - Second mortgage only","Estimate; Housing units with a mortgage, contract to purchase, or similar debt: - With either a second mortgage or home equity loan, but not both: - Home equity loan only","Margin of Error; Housing units with a mortgage, contract to purchase, or similar debt: - With either a second mortgage or home equity loan, but not both: - Home equity loan only","Estimate; Housing units with a mortgage, contract to purchase, or similar debt: - Both second mortgage and home equity loan","Margin of Error; Housing units with a mortgage, contract to purchase, or similar debt: - Both second mortgage and home equity loan","Estimate; Housing units with a mortgage, contract to purchase, or similar debt: - No second mortgage and no home equity loan","Margin of Error; Housing units with a mortgage, contract to purchase, or similar debt: - No second mortgage and no home equity loan",Estimate; Housing units without a mortgage,Margin of Error; Housing units without a mortgage
Knoxville,44,764.0,151.776150959,477.0,135.606047063,85.0,67.7864293203,0.0,24.4948974278,85.0,67.7864293203,12.0,28.7054001888,380.0,124.189371526,287.0,94.878870145
Larimer,45,214.0,47.4657771452,70.0,28.4604989415,11.0,18.1659021246,11.0,18.1659021246,0.0,20.0,0.0,20.0,59.0,25.179356624,144.0,42.2610932182
Lincoln Place,46,1283.0,137.91664149,734.0,127.302788658,111.0,46.6154480833,27.0,30.166206258,84.0,42.1188793774,0.0,22.360679775,623.0,120.610944777,549.0,111.458512461
Lincoln-Lemington-Belmar,47,851.0,108.475803754,335.0,78.9999999999,34.0,29.2403830345,11.0,28.0891438104,23.0,23.622023622,0.0,24.4948974278,301.0,74.8865809074,516.0,101.168176814
Lower Lawrenceville,48,457.0,100.657836257,282.0,84.3800924389,20.0,24.1660919472,10.0,18.0277563773,10.0,18.8679622641,0.0,14.1421356237,262.0,84.3800924389,175.0,67.2011904656
Manchester,49,509.0,116.017240098,338.0,102.176318196,37.0,30.4138126515,18.0,20.591260282,19.0,20.8086520467,0.0,14.1421356237,301.0,100.124921973,171.0,73.9256383131
Marshall-Shadeland,50,966.0,145.488831186,551.0,122.147451877,44.0,28.3725219182,5.0,21.5406592286,39.0,27.7128129211,4.0,21.1896201004,503.0,118.991596342,415.0,94.0212741884
Middle Hill,51,266.0,71.6240183179,125.0,54.3415126768,12.0,15.1657508881,2.0,14.4568322948,10.0,17.9164728672,0.0,17.3205080757,113.0,53.3385414124,141.0,56.3648826841
Morningside,52,954.0,121.053707089,700.0,112.849457243,140.0,64.4282546714,49.0,49.949974975,91.0,42.9651021179,0.0,20.0,560.0,102.708324882,254.0,74.9533188058
Mount Oliver Borough,53,593.0,125.307621476,350.0,108.0,52.0,48.4355241533,0.0,20.0,52.0,48.4355241533,0.0,20.0,298.0,96.3431367561,243.0,76.413349619
Mount Washington,54,1828.0,177.533095507,962.0,142.154845152,127.0,63.1268564083,20.0,30.7408522979,107.0,61.5142259968,5.0,29.3938769134,830.0,132.619757201,866.0,134.851770474
Mt. Oliver,55,164,43,72,34,12,11,3,6,9,9,0,10,60,34,92,32
New Homestead,56,377,31,230,33,21,16,0,10,21,16,0,10,209,34,147,34
North Oakland,57,873.0,121.49897119,163.0,64.3272881443,20.0,31.3687742828,0.0,24.4948974278,20.0,31.3687742828,10.0,27.4954541697,133.0,57.9482527778,710.0,121.749743326
North Shore,58,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237
Northview Heights,59,12,12,12,12,0,10,0,10,0,10,0,10,12,12,0,10
Oakwood,60,236,49,109,32,17,14,5,7,12,13,0,10,92,31,127,50
Overbrook,61,1283.0,100.029995501,713.0,101.271911209,121.0,56.6392090339,4.0,21.1896201004,117.0,56.382621436,18.0,23.8537208837,574.0,90.1387818866,570.0,75.6703376495
Perry North,62,1069.0,107.740428809,673.0,103.918237091,64.0,38.2230297072,0.0,24.4948974278,64.0,38.2230297072,33.0,36.6196668472,576.0,98.1427531711,396.0,74.4177398206
Perry South,63,800.0,126.601737745,359.0,85.0764362206,101.0,55.9016994375,22.0,34.5976877841,79.0,49.0,4.0,23.1516738056,254.0,70.0856618717,441.0,102.596296229
Point Breeze,64,1623.0,107.144761888,1071.0,112.476664246,251.0,67.1565335616,30.0,30.0499584026,221.0,63.2139225171,16.0,25.3771550809,804.0,103.469802358,552.0,77.2010362626
Point Breeze North,65,336.0,89.0898422942,219.0,66.970142601,44.0,35.1425667816,0.0,17.3205080757,44.0,35.1425667816,0.0,17.3205080757,175.0,62.2735899077,117.0,67.2160695072
Polish Hill,66,334.0,54.5618914628,185.0,49.8196748283,61.0,37.3630833845,2.0,10.7703296143,59.0,37.1079506306,0.0,14.1421356237,124.0,41.0365690574,149.0,32.5269119346
Regent Square,67,343,41,226,45,36,29,0,10,36,29,0,10,190,40,117,26
Ridgemont,68,136,40,73,31,16,15,0,10,16,15,0,10,57,27,63,34
